No,Question,Answer1,AnswerCorrect1,Answer2,AnswerCorrect2,Answer3,AnswerCorrect3,Answer4,AnswerCorrect4,Answer5,AnswerCorrect5,Answer6,AnswerCorrect6,Answer7,AnswerCorrect7,Answer8,AnswerCorrect8,Answer9,AnswerCorrect9,Answer10,AnswerCorrect10,Hint,Explanation,Category
1,"TensorF low Operations and Computation Graph are not run in the Session",True,,False,
23,"Which of the following description of the number of rows and columns of the matrix is""correct?",The number of rows is grea ter than the number of columns,,The number of rows is equal to the number of columns,,The number of rows is less than the number of columns,,The number of rows has no relationship with the number of columns.,

24,"Feedforward neural network is a simple neural ne twork, each neuron is arranged""hierarchically, it is currently one of the most widely used and fastest growing artificial""neural networks. Which of the following statement about feedforward neural networks is""correct:", Neurons with computing power are connected to the upper and lower layers,, Its input node has computing power,, Neurons in the same layer are connected,,Information only along -pass through,
25,"To v iew Atlas300 (3000) , which command should be used if the accelerator card driver is""installed successfully?",npu -sim info,,npu info,,atlas -driver info,,atlas info,
26,"MindSpore is bridging the huge gap between industry research of AI technology and""application scenarios in the following ways except:",New ways of collaboration,,New programming language,,New programming paradigm,,New execution mode,
27,"X. Y are random variables.  C is a constant. W hich of the following description s about the""nature of the mathematical expectation is incorrect?",E(C)  = CA. E(C) = C,,B. E(X+Y) = E(X)+E (Y),, C. E(CX) = CE(X),,D. E(XY) = E(X)E(Y),
28,"Which of the following schools does the neural network study belong to?",Symbolism,,Connectionism,,Behaviourism,,None of the above,
29,"Artificial intelligence is the research and development of theories, methods and application""systems used to simulate, extend and expand human intelligence of a new technological""science.",TRUE,, FALSE,
30,"Which method is not supported in TensorFlow  to define variables?",Random number,,Constant,,Calculated from the initial values of other variables,,Null,
31,"Which of the following logical architecture s of the processor  is not included in deflated AI?",DVPP,,GPU,,AI Calculation engine,,Chip system control CPU,
32,"There are many commercial applications for machine learning services. What are the main""business scenarios covered? (Multiple Choice)", Financial  product recommendation,, Predictive maintenance,, Telecom customer retention,, Retailer grouping,
33,"In the process of training the neural network, we use the gradient descent method to""continuously update which value, which makes the loss Function minimization?",Number of samples,,Eigenvalues,,Hyperparameter,,Parameter,
34,"In the process of deep learning mode l training, what are the common optimizers?",Adam,,Adagrad,,SGD,,Momentum,
35,"Python tuples are identified by "()'' and internal elements are separated by ":".",True,,False,
36,"Matrix A and matrix B can be added  only when they have the same number of rows and""columns .",True,, False,
37,"Which of the following can improve the computational efficiency of the neural network""model? ( Multiple  choice)",TPU,,GPU,,FPGA,,Large -scale distributed cluster,
38,""print" in Python 3 must  be used with "()" .",True,,False,

39,"What are the mainstream deep learning open source tools? (Multiple choice)",TensorFlow,,Caffe,,Torch,, Theano,"e.  Scikit..Jeam"
40,"TensorFlow It is one of the most popular deep learning frameworks.",TRUE,,FALSE,
41,"Which of the following is the computing model of TensorFlow?",Calculation chart,,Tensor,, Conversation,, Variable,
42,"In neural networks, weights are often shared. Which of the following neural networks will""share weights?",Sensor,,Convolutional Neural Network,,Fully connected neural network,,Recurrent neural network,
43,"Deep learning makes it easy to derive simple mathematical functions from a large amount""of high -dimensional data to describe complex decision interfaces.",True,, False,
44,"Traditional machine learning and deep learning are the core technologies of artificial""intelligence. There is a slight difference in the engineering process. Which of the following""steps can be done automatically in deep learning?", Model evaluation,,Feature engineering,,Data cleaning,,Model building,

45,"The Python dictionary is identified by "{}", and the internal data consists of the key and its""corresponding value.",True,, False,
46,"Convolutional neural networks are more suitable for image recognition  problems than cyclic""neural networks.",True,,False,
47,"Where is the main foothold of symbolism?",The foothold is in neuron networks and deep learning.,,The foothold is reasoning, symbolic reasoning and machine reasoning.,,The foothold is perception and action.,,The foothold is behaviour  control, adaptive and evolutionary computing.,
48,"When training the network, we often encounter many problems. For the problem of""gradient vanishing , we can alleviate the problem by choosing which of the following""activation functions?",Softsign function,,Relu function,,tanh function,,Sigmoid function,

49,"During application development, which of the following operations is not a typical network""definition?",Network definition,,Network execution,,Knowledge distillation,,Weight initialization,

50,"Which of the following description of the validation set is wrong?", The verification set can coincide with the test set.,, The test set can coincide with the training set,, The subset used to pick hyperparame ters is called a validation set,, Typically 80% of the training data is used for training and 20% is used for verification.,
51,"Which of the following functions can numerically stabilize overflow and underflow?",Softminus function,,Softplus function,,Softmax  function,,Softmin func tion,
52,"The loss function of logistic regression is the cross -entropy loss function.",TRUE,,FALSE,
53,"What are the common clustering algorithms?",Density clustering,,Hierarchical clustering,,Spectral clustering,,Kmeans,
54,"Python script executi on mode includes interactive mode and script mode",True,,False,
55,"The loss function reflects the error between the target output and actual output of the""neural network. The commonly used loss function in deep learning is:", Exponential loss function,, Mean square loss function,, Log loss function,, Hinge Loss function,
56,"The model composed of machine learning algorithms cannot represent the true data""distribution function on a theoretical level. Just approach it.",TRUE,, FALSE,
57,"What models  support H UAWEI HiAI ?",P30,,Mate 20,, glory V20,,iPhone10,
58,"The meaning of artificial intelligence was first proposed by a scientist in 1950, and at the""same time a test model of machine intelligence was proposed . Who is this scientist?",insky,,Zade,,Turing,,Von Neumann,
59,"Which of the following services belong to Huawei EI Service family?",Dialogue robot,,EI Basic services,,Natural language processing,,EI Big data service,
60,"Which of the following descriptions of the deep  feedforward network is correct?",Deep feedforward network is a kind of neural network.,,The deep feedforward network has only one hidden layer.,,The unit s on the hidden layer of the deep feedforward network are  countless.,,Deep feedforward network is used to deal with linear problems.,
61,"What statement is incorrect  about the  relationship between neural networks and deep""learning?", The concept of deep learning sterns from the study or artificial neural networks.,, A neural network algorithm with multiple hidde n layers is a deep learning algorithm,, Single layer neural networks are also a type of deep learning,,Convolutional neural networks are a type of deep learning.,
62,"What is the performance of artificial intelligence in the stage of perceptual intelligence?",Machines begin to understand, think and make decisions like humans,,Machines begin to calculate and transmit information just like humans,,The machine starts to understand and understand, make judgments, and take some,"simple actions"
63,"In which year was the first introduction of "artificial intelligence"?",1946,,1960,,1916,,1956,
64,"Which of the following is true about unsupervised learning?", Unsupervised algorithm only processes "features" and does not process “tags”,, Dimensionality reduction algorithm is not unsupervised learning,,  K-means algorithm and SVM algorithm belong lo unsupervised learning,,  None of the above,
65,"Which of the following characteristics belong  to TensorFlow2. 0?",Introduce Keras interface,,Support static image mechanism,,Support more platforms and more languages,,Continue to be compatible Tensorflowl.x Related modules,
66,"The training error will continue to decrease as the model complexity increases.",TRUE,, FALSE,
67,"What are the advantages  of HiAI mobile computing platforms?",Quick source code,,Diverse tool chain,,Complete documentation,,plentiful API,
68,"Which of the following statement about the matrix is incorrect?",The arbitrary matrix is multiplied by the unit matrix and will not change.,,The transpose of the symmetric matrix A is also A itself.,,The transpose of the orthogonal matrix A is equal to the inverse of A .,,There is no inverse matrix for the diago nal matrix.,
69,"In the environment preparation for invoking HUAWEI CLOUD services, which of the""following does not require confirmation of installation?",requests,,etuptools,,websocket -client,,Jieba,
70,"In the classic convolutional neural network model,  what layer does the Softmax function""follow?",Convolutional layer,,Pooling layer,,Fully connected layer,,All of the above,
71,"The combination of ModelArts services  and ________  can easily deploy the model to"""end"?",OBS,,OCR,,ECS,,HiLens,
72,"With a lot of sales data but no labels,  the  compan y want s to identify VIP customer,  which of""the following model s is suitable?",Logistic regression,,SVM,,K-Means,,Hierarchical clustering,
73,"The Naive Bayes algorithm does not require independent and identical distribution of""sample features.",TRUE,,FALSE,
74,"Which of the following statements about supervised learning is correct?",Decision tree is a supervised learning,,Supervised learning cannot use cross -validation for training,,Supervised learning is a rule -based algorithm,,Supervised learning can be trained without labels,
75,"The commonly used functions for mathematical operati ons in Python are basically in t he""math module and the cmath module.",True,,False,
76,"The constituent elements of the Python identifier include: numbers, letters, and""underscores.",True,,False,
77,"Jobs that are repetitive and require weak social skills are the easiest to be replaced by AI.",TRUE,, FALSE,
78,"What are the commonly used loss fu nctions? (Multiple choice)",Mean variance,,Sigmoid cross entropy,,Soft max cross entropy,,Sparse cross entropy,"e. Weighted Sigmoid Cross Entropy"
79,"If the deep learning neural network has the problem of gradient vanishing  or gradient""explosion, our common solution s are",Gradient shear,,Random under sampling,,use Relu Activation function,,Regularization,
80,"In deep learning tasks, when encountering data imbalance problems, which of the following""methods can we use to solve the pro blem?", batch deletion,, Random oversampling,, Synthetic sampling,, Random undersampling,
81,"In deep learning, if the neural network has a large number of layers, the problem of""gradient disappearance is more likely to occur. Strictly speaking, in which of the following""links does the sample disappearance problem occur?",Backpropagation update parameters,,Forward the dream and update,,Backpropagation calculation result,,Forward calculation results,
82,"The number or matrix is stored in the tensor",True,,False,
83,"For b agging in ensemble  learning, the relationship between each base learner is?",Additive relationship,"b .   No relationship",The latter model must be built on top of the previous model,, Independent,
84,"Generating a confrontation network  (GAN)  is like a game system. The generator generates""fake samples, and the discriminator judges whether it is true or false. Our ideal result is?",The generator produces roughly the same samples,,The discrimi nator efficiently distinguishes the true and false samples generated by the,"generator",The discriminator cannot distinguish the true and false samples generated by the,"generator",The generator produces different samples,
85,"What quotation marks can the Python language use? (Multiple Choice)",Single quotes,,Double quotes,,Three quotes,,Four quotes,
86,"How does MindSpore handle  the challenge of achieving efficient distributed training for""ultra -large -scale models""a .Automatic parallel",Serial,,Manual parallel,
87,"Reducing the gap between the training error and the test error will result in over -fitting""How to prevent over -fitting? (Multiple Choice)",Cross validation,,Integration method,,Increase regularization,,Feature Engineering,
88,"Whic h of the following are the characteristics of the Python language? (Multiple choice)",Explanatory,,Process oriented,"c .Object -oriented""e. Dynamic data type"
89,"Which of the following functions is not supported by PyTorch?",Inline keras,,Support dynamic gra ph,,Automatic derivative,,GPU accelerate,
90,"The optimizer is an important part of training neural networks. Which of the following is not""the  purpose of using the optimiser ?",Speed up algorithm convergence,, Reduce the difficulty of manual parameter setting,,Avoid overfitting,,Avoid local extremes,
91,"What are the service categories included in Huawei Cloud El Enterprise Intelligence?""(Multiple Choice)",El visual cognition,,El online games,,El speech semantics,,El industry scene,
92,"Computer vision is the study of how to make computers "see".",TRUE,,FALSE,
93,"Which of the following description s of the normal distribution  is wrong ?", In natural phenomena and social phenomena, many random variables obey or,"approximate a normal distribution.",The normal distribution lakes the maximum value at the mean,,The larger the standard deviation the steeper the normal distribution  curve,,The larger the standard deviation, the slower the normal distribution curve.,
94,"Which of the following descriptions a bout Python tuple  is correct? (Multiple choice)",The difference between a list and a tuple is that the elements of the tuple cannot be,"duplicate.",The list uses square brackets and the tuple uses parentheses,,Tuple creation is very simple, just add element s in parentheses and separate them,"with commas",When a tuple contains only one element, you need to add a comma after the,"element"
95,"The data type used in TensorFlow is?",Scalar,,Vector,,Tensor,,Matrix,


96,"There are many types of neural networks in deep learni ng. The following neural network""information is one -way propagation:",LSTM,,Convolutional Neural Network,,Recurrent neural network,,GRU,
97,"Which of the following is not included in keras.metrics of TensorFlow 2.0 ?",Accuracy,,Recall,,Sum,, Mean,
98,"The built -in optimizer s in the keras module of TensorFlow include :",Adam,, SGD,, Adaboost,,Adadelta,
99,"The  full scenarios  of Huawei AI include public cloud, private c loud, various edge computing,""IoT industry terminals, and consumer terminals and other end, edge, and cloud  deployment""environments.",TRUE,,FALSE,
100," Voice recognition refers to the recognition of audio data as text data.",TRUE,,FALSE,
101," The correlation coefficient. also known as the linear correlation coefficient, is used""to measure the linear relationship between two variables, which is a real number greater""than zero",True,,False,
102," In polynomial regression, there is a square term in the formula of  the model, so it is""not linear .",TRUE,, FALSE,
103," The test error will keep getting smaller as the complexity of the m odel increases.",TRUE,,FALSE,
104," GAN is a deep learning model and one of the most promising methods for""unsupervised learning in complex situation in recent years.",True,,False,
105," The number of rows and columns of the three matrices A , B and C is 3 rows X 2""colu mns, 2 rows X3 columns  and 3 rows X 3 columns  respectively . Which of the following""operations is meaningful?",AC,,BC,,A+B,,AB-BC,
106," Which of the following about the gradient descent is incorrect?",Random gradient descent is a commonly used one in gradient descent.,,Gradient descent includes random gradient descent and batch gradient descent.,,The gradient descent algorithm i s fast and reliable,,Random gradient descent is one of the commonly used optimization algorithms in deep,"learning algorithms."
107," What are the commonly used activation functions? (Multiple Choice)",sigmoid,,tanh,,relu,,danish,
108," Python is a fully object -oriented language. Which of the following options belong to""the Python object? (Multiple Choice)",Function,,Module,,Number,,Character string,
109," The label predicted by the regression algorithm is?",Self -deformation,,Discrete,,Strain type,,Continuous,
110," What operating systems support Python? (Multiple Choice)", DOS,,Linux,,Mac OS,,Windows,
111," The face detection service will report an error when there is no face in the test""image.",TRUE,,FALSE,
112," HUAWEI HiAI Engine c an easily integrate  multiple AI abilit ies and App s together .",TRUE,,FALSE,
113," Which of the following does not belong to automatic hyperparameter optimization""algorithm?",Grid search,,Random gradient descent,,Random search,,Model -based hyper parameter optimization,
114," After the data has completed the feature engineering operation, in the process of""constructing the model, which of the following options is not a step in the decision tree""construction process?",Pruning,,Feature selection,,Data cleaning,,Decision tree gene ration,
115," What factor  dose not  promote the development of artificial intelligence ?",Big data,,Computing ability,,Algorithm theory,,Block chain,
116," The following are the descriptio n of the distribution function, distribution law  and""density function of  random variables. Which of the following is incorrect?",Distribution law can only describe the value rule of discrete random variables,,The density function can only describe the value rule of continuous random variables,,Discrete random variables have no distribution function,,Distribution function describes the value rule of random variables,
117," In machine learning, what  is the  input that the model needs to train itself and""predict the unknown?",Manual procedure,,Neural Networks,,Training algorithm,,historical data,
118," The pooling layer in the convolutional neural network can reduce the dimension  of""the lower layer input. Common ly used  pooling layers are :",Minimum strata,,Product pooling layer,,Maximum pooling layer,,Average pooling l ayer,
119," What are  the Python language design philosophy? (Multiple Choice)",Beautiful,,Expensive,,Explicit,,Simple,
120," Which of the followings are not belong to supervised learning  category ?",Logistic regression,,Support vector machine,,Decision tree,,Principal component analysis,
121," In the binary  classification process, we can set any category as a positive example.",TRUE,,FALSE,
122," Which of the following does not belong to long -term memory LSTM (long Short""Term Memory) network architecture?",Memory door,,Forget door,,Input door,,Output door,
123," In May 1997, in the famous "Human -Machine Wars" final , computer defeated""Kasparov, the world chess king, with a total score of 3.5 to 2 5. What is this computer""called?",Dark blue,,Dark green,,Ponder,,Blue sky,
124," The continue statement in the Python language is used to jump out of th e current""loop and then continue to execute the next loop .",True,,False,
125," Huawei Cloud El builds enterprise intelligence services based on three -tier services.""Which of the  following options does not belong to Layer 3 services?",Basic platform services,,General domain services,,Industry sector services,,Integration services,
126," Which of the following options is not central to linear algebra?",Probability theory,,Linear transformation,,Matrix theory,,Vector space,
127," In supervised learning," Those who are near red  are red and those who are near""black  are black"  is used to describe which of the following models?",K-Means,,SVM,,KNN,,Neural Networks,
128," There are a lot of data gener ated during the training of the neural network. What""mechanism does TensorFlow use to avoid excessive input data?",Client,,feed,,placeholder,,fetch,
129," Which of the following methods in TensorFlow 2.0 can be used for tensor merging ?", join,,concat,,split,,unstack,
130," Which of the following options belong to Tensorflow concept? (Multiple Choice)", Tensor,, Variables,, Placeholder,,Operation,"e. Conversation"
131," Python authors deliberately design very restrictive grammars that make bad""programming habits (such as the next line of if statement not indented to the right) not  be""compiled .",True,,False,
132," Which of the following description s about the  number of rows and columns of a""determinant is correct?",The number of rows is greater than the number of columns,,The number of rows is equal lo the number of columns,,The number of rows is less than the number of columns,,The number of rows has no relationship with the number of columns,
133," “From the label led historical data, we can predict that the retail sales of the next""quarter will be 20 -30 thousands or 30-40 thousand s". What is the problem type?", Regression problem,, Rule problem,, Classification problem,, Clustering problem,
134," HUAWEI CLOUD ModelArts  is a one -stop development platform f or AI . Which of the""following functions can Mode lArts support ?",Data governance,,AI market,,Visual workflow,,Automatic learning,
135," The main application of the Atlas 200 DK Yiteng 310 chip is?", Model reasoning,, Build model,,Training model,

136," What are the advantages of Python? (Multiple choice)",Simple,, Free,, High -level language,, Rich library,
137," Accor ding to its development process, what are the three generation of robot ?",Teaching Reproduction Robot,, Robot with sensation,,Robots that will think,,Intelligent robot,
138," For a matrix as shown in the figure below, what is the value of the determinant A?"
"A=[123"45,"56"789,"89]"
,24,,18,,-24,,0,

139," Which of the following descriptions about Python program are correct? (Multiple""choice)",The program consists of modules,, Module contains statements,, Statement contains an expression,, Expressions create and process objects,
140," Which of the fo llowing is not MindSpore common Operation?", signal,,math,,nn,,array,
141," TensorFlow is Google's first generation of proprietary machine learning systems",True,,False,
142," What are the core concepts in TensorFlow? (Multiple Choice)",Gridding,,Calculation Chart,,Dot Product,,Tensor,
143," According to the American Society of Automotive Engineers (SAE) , which of the""following levels is t he automatic driving divided?",L1~L4,,L1~L5,,L0~L4,,L0~L5,
144," The main computing resources included in the Da Vinci architecture computing unit""are?",Vector calculation unit,,Scalar Computing Unit,,Tensor computing unit,,Matrix calculation unit,
145," Which of the following is not a way for the TensorFlow program to read data?",Preload data,, Feeding data,, Read from the file,,Write a file format reader,
146," Which of the following statements about universal form recognition services are""correct?",rows represents the line information of a text block,,colum ns represents the co lumn information of a text block,,The incoming image data needs to go through base64 coding,,words represent  text block recognition result,
147," Tensor is the data storage component of MindSpore .",TRUE,,FALSE,
148," Training error will reduce the accuracy of the model and produce under -fitting. How""to improve the model fit? (Multiple choice)",Increase the amount of data,,Feature Engineering,,Reduce regularization parameters,,Add features,
149," Which of the following compan ies first developed Tensor Flow ?",Oracle,,Facebook,,Nvidia,,Google,
150," What is the role of keras.preprocessing in TensorFlow2.0 ?", Data processing tools,, Built -in optimizer,,Model deployment tool,,Generative model tool,
151," Deep learning is a branch of machine le arning",True,,False,
152," Which of t he following description s of machine learning is correct?", Deep learning is a branch of machine learning,, Deep learning and machine learning are mutually inclusive,, Deep learning and machine learning are both artificial intelligence but have no,"relationship to each other", None of the above,
153," It is fine to pass in only one image when calling the face comparison service.", TRUE,, FALSE,
154," L1 and  L2 Regularization are the  method s commonly used in traditional machine""learning to reduce generalization errors. Which of the following descriptions are correct?", L1 Regularization can do feature selection,,L1 and  L2 Regularization can be used for feature selection,,L2 Regularizati on can do feature selection,,L1 and L2 Regularization cannot be used for feature selection,
155," In the face search service, if we want to delete a certain face set, we can use this""code: firs_cliet.get_v2().get_face_set_service().delete_face_set("**"), where  "**" is to fill in""the actual face set name.",TRUE,,FALSE,,,
156," The word recognition in the speech recognition service refers to the synchronous""recognition of short speech. Upload the entire audio at once, and the recognition result will""be returned in the response.",True,,False,
157," Which of the following neural network structures will share weights? (Multiple""choice)",Convolutional neural network,,Recurrent neural network,,Fully connected neural network,,All of the above,
158," There are many types of agents according to different industrie s and application""scenarios. Currently, Huawei Cloud EI  has  :",Industrial Agent,,Traffic Agent,,Park Agent,,Car intelligence,
159," How many spaces does PEP 8 stipulate that Python's first fine indentation needs to""indent?",1,,2,,4,,8,
160," In what year did Huawei officially provide services in the form of cloud services, and""combined with more partners to provide richer artificial intelligence practices?",2002,,2013,,2015,,2017,
161," Input a 32*32 Image  into a CNN with a convolution kernel of size  5*5, after""convolution calculation, the size of the output image is:",28*23,,28*28,,29*29,,23*23,
162," Which of the following options is not the - session mode used by Tensorflow?", Explicitly call the session to generate function,, Explicitly call the session to close function,,Through the Python context manager,,Multiple POST queries,
163," Which of the following is the function of HUAWEI HiAI Foundation module?",App integrated,,Let the service actively find users,,Quickly convert and migrate existing models,,According to user needs, push services at the right time and at the right time,
164," Which of the following are the activation functions of deep learning algorithms?",Sigmoid,,ReLU,,Tanh,,Sin,
165," Which of the following s tatements about Python are correct? (Multiple choice)",Invented in 1989 by the Dutch Guido van Rossum, the first public release was issued,"in 1991.", Python is purely free software and the source code follows the GPL (GNU General,"Public License) protocol",Python syntax is simple and clean. One of the features is to force blank characters to,"be used as statement indentation", Python is often nicknamed glue language which can easily connect various modules,"made in other languages"
166," In the Code model.fit(mnist.t rain.inmage,mnist.train.labels.epochs=5) , what does""the epochs parameter mean ?",The entire training set will be trained 5 times,,The entire test set will be tested 5 times,, The entire training set will be divided into 6 share s,, The entire training set will be divided into 5 share s,
167," Which of the following are solutions for the Huawei Cloud El industry scenario?""(Multiple Choice)",Intelligent Logistics,,Intelligent Water,, Intelligent transportation,,Intelligent Finance,"e. Intelligen t manufacturing"
168," When the voice recognition service is successfully called, which field is the""recognition result stored in?",result,,content,,data,,text,
169," What are the commonly used kernel functions in  SVM ?",Gaussian kernel function,,Polynomial kernel func tion,,Sigmiod Kernel function,,Linear kernel,
170," K Folding cross -validation refers to dividing the test data set into K sub-data sets.", TRUE,, FALSE,
171," The Python dictionar y is widely identified by "{}", and the internal data consists of""the key and its corresponding value .",True,,False,
172," Which of the following is not an application of image recognition services?",Target Detection,,Smart photo album,,Scene analysis,,Speech synthesis,
173," About Bayesian formula  P(WlX)=P(XlW)*P(W)/P(X) , which is the correct description?", P(WIX) is a prior probability,, P(XIW) is a conditional probability,, P(W) is the posterior probability,, P(X) is the posterior probability,
174," Which step is not part of the operation of a Python file object?",open,,delete,,read,,write,"e. close"
175," Among the following machine learning algorithms, which is not unsupervised""learning?", Clustering,, Association rules,,Xgboost,,GMM,
176," Which description is wrong about the lambda function of the Python language?",Lambda is just an expression, and the function  body is much simpler than def.,,The body of a lambda can be an expression or a block of code,,The lambda function can access the parameters in the global namespace.,,The lambda function accepts only one parameter valu e,
177," TensorFlow  is an end -to-end open source platform for machine learning and deep""learning.",TRUE,,FALSE,
178," Deep learning algorithms can be divided into supervised learning and unsupervised""learning.",True,,False,
179," Which of the following descriptions of Python module  is wrong ?",The Python module is a Python file that ends with “.py “ and contains Python object,"definitions and Python statements.",The Python module allows you to logically organize your Python code snippets.,, Python modules can define functions classes and variables but the module does not,"contain executable code", Assigning relevant code to a module can make your code better and easier to,"understand."
180," Deep learning neural network training requires a lot of matrix calculations.""Generally, we need to use hardware to enable the computer to have parallel computing""capabilities. Which of the  following hardware devices can provide parallel computing""capabilities ?",Motherboard,,RAM,,GPU,,CPU,
181," Artificial intelligence is a new technical science that studies and dev elops theories,""methods and application systems for simulating, extending and extending human""intelligence. It is one of the core research areas of machine learning.",True,,False,
182," Which of the following is not the difference between Python 2 and Python 3?",print,,Unicode,,import,,xrange,
183," Grid search is a method of parameter adjustment.", TRUE,, FALSE,
184," Huawei firmly believes that the value of Al is ultimately reflected in solving the""actual business problems of the enterprise. Therefore, Huawei is firmly com mitted to the""development of Al technology, focusing on domain solutions, focusing on basic technologies""and enabling platforms, and working with industry practice leaders to develop industry""solutions",True,, False,
185," In a neural network based on connection ism, each node can express a specific""meaning.",TRUE,,FALSE,
186," Which  of the following  is not a Python operator?", Arithmetic operator,, Reasoning operator,, Logical operator,,Comparison operator,
187," The three stages of artificial intelligence include computational intelligence, (     ) ,""Cognitive intelligence.", Weak artificial intelligence,, Perceptual intelligence,, Behavioural  intelligence,, Strong artificial intelligence,
188," Which of the following options do not belong to the scope of Huawei's full -stack""solution ?",Application enable,,Edge computing,,Open source framework,,Chip enable,
189," The trace operation returns the sum of the diagonal elements of the matrix.""Therefore, the trace of matrix A and its transposed matrix are equal .", True,, False,
190," In TensorFlow, data is represented in the form of tensors and calculation charts.",True,,False,
191," Global gradient descent algorithm, stochastic gradient descent algorithm and batch""gradient descent algorithm are all gradient descent algorithms. Which of t he following is""wrong about its advantages and disadvantages.", The global gradient algorithm can find the minimum value of the loss function,, Batch gradient algorithm can solve the local minimum problem,, Stochastic gradient algorithm can find the minimum va lue of the loss function,, The convergence process of the global gradient algorithm is time -consuming,
192," What of the following values are empowered  by HUAWEI HiAI ?",Safety,, stable,,real time,,at any time,
193," Artificial intelligence is still in the weak artifici al intelligence stage.",TRUE,,FALSE,
194," Which of the following are the elements of artificial intelligence? (Multiple choice)",Algorithm,,Computing power,,Data,,Scene,
195," If a model has a large deviation on the test set and a small variance, it means that""the model?",Overfitting,,May be overfitting may be underfitting,,Just fit,,Underfitting,
196," As shown below, which are the following matrix A characteristic value? (Multiple""choice)""A= [3−1""−13]"
,2,,-2,,-4,,4,
197," Information theory is a branch of applied mathematics. The main research is to""quantify how much information a signal contains. Who is the first to propose information""theory?",Minsky,,Turing,,Simon,, Shannon,
198," Deep learning is different from machine learning and there are no unsupervised""algorithms",True,,False,
199," Which of t he following descriptions about  the value k in  KNN Algorithm is correct?",The larger the value, the easier the model is to overfit,,The large r the value, the smoother the segmentation surface of the classification,,k Value is a hyperparameter,,k Value can be set to 0,
200," Which of the following is not part of the deep learning development framework?",CNTK,,Keras,,SAFA,, MXNet,
201," Which of the followin g are the cloud services provided by Huawei Cloud El Visual""Cognition? (Multiple choice)",Text recognition,,Face recognition,,Image recognition,,Content detection,"e. Image processing"
202," Recurrent neural networks can capture dynamic information in serialized data.",TRUE,,FALSE,
203," Which of the following are AI Subfield?",Machine learning,,Computer vision,,Speech Recognition,, Natural language processing,
204," From the perspective of technical architecture , the classification of  AI chips""includes?", FPGA,, CPU,, GPU,, ASIC,
205," Which of the following aspects belong to Huawei's full stack AI solution?",Ascend,,CANN,,ModelArts,,MindSpore,
206," There are multiple models of AI servers . Which is the  one based on the Kunpeng""processor platform ?",Atlas 800 model: 9000,,Atlas 800 model: 3000,, Atlas 800 model: 3010,
207," Which of the following A I technolog ies can be integrated  into Huawei Cloud EI to""improve efficiency  and improve experience of application  sce narios  of all walks of life?", EI Agent,, OBS Object storage service,, Cloud database,, EI Big data service,
